repo,commenter,month,churn_add,churn_del,comment_count,commit_count,issue_count,pr_count,thread_comments_total,thread_participants_total,threads_participated,active_months,active,last_active_month,engagement_label
pytorch/pytorch,22quinn,2024/9/1,0,0,0,0,0,1,0,0,0,4,TRUE,2025/4/1,Engaged
pytorch/pytorch,22quinn,2024/10/1,0,0,0,0,0,1,0,0,0,4,TRUE,2025/4/1,Engaged
pytorch/pytorch,22quinn,2025/4/1,0,0,0,0,0,1,0,0,0,4,TRUE,2025/4/1,Engaged
kubernetes/kubernetes,249043822,2024/7/1,0,0,0,0,0,1,0,0,0,4,TRUE,2025/2/1,Disengaged
kubernetes/kubernetes,249043822,2024/8/1,0,0,0,0,0,2,0,0,0,4,TRUE,2025/2/1,Disengaged
kubernetes/kubernetes,249043822,2025/1/1,6,20,0,1,0,1,0,0,0,4,TRUE,2025/2/1,Disengaged
kubernetes/kubernetes,249043822,2025/2/1,2,1,0,1,0,1,0,0,0,4,TRUE,2025/2/1,Disengaged
godotengine/godot,31,2024/2/1,10,2,0,1,0,1,0,0,0,3,TRUE,2024/12/1,Disengaged
godotengine/godot,31,2024/6/1,6,1,0,1,1,1,0,0,0,3,TRUE,2024/12/1,Disengaged
godotengine/godot,31,2024/12/1,0,0,0,0,0,1,0,0,0,3,TRUE,2024/12/1,Disengaged
grafana/grafana,3BK,2024/5/1,0,0,4,0,0,0,11,2,1,3,TRUE,2024/7/1,Disengaged
grafana/grafana,3BK,2024/6/1,0,0,3,0,0,0,11,2,1,3,TRUE,2024/7/1,Disengaged
grafana/grafana,3BK,2024/7/1,0,0,1,0,0,0,11,2,1,3,TRUE,2024/7/1,Disengaged
storybookjs/storybook,3w36zj6,2024/9/1,1,1,0,1,0,1,0,0,0,3,TRUE,2025/2/1,Disengaged
pandas-dev/pandas,3w36zj6,2025/1/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/2/1,Disengaged
pandas-dev/pandas,3w36zj6,2025/2/1,233,0,0,1,0,0,0,0,0,3,TRUE,2025/2/1,Disengaged
kubernetes/kubernetes,41tair,2024/8/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/3/1,Engaged
Langgenius/dify,41tair,2024/10/1,7,5,0,1,0,1,0,0,0,3,TRUE,2025/3/1,Engaged
Langgenius/dify,41tair,2025/3/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/3/1,Engaged
storybookjs/storybook,43081j,2024/2/1,212,192,0,1,0,1,0,0,0,9,TRUE,2025/4/1,Engaged
vercel/next.js,43081j,2024/2/1,0,0,0,0,0,1,0,0,0,9,TRUE,2025/4/1,Engaged
vitejs/vite,43081j,2024/2/1,0,0,0,0,0,1,0,0,0,9,TRUE,2025/4/1,Engaged
storybookjs/storybook,43081j,2024/3/1,310,293,0,3,0,4,0,0,0,9,TRUE,2025/4/1,Engaged
