repo,commenter,month,commit_count,churn_add,churn_del
scikit-learn/scikit-learn,lithomas1,2025-03-01,1,18,11
scikit-learn/scikit-learn,lithomas1,2024-05-01,1,67,11
scikit-learn/scikit-learn,MarieSacksick,2025-04-01,1,96,13
scikit-learn/scikit-learn,MarieSacksick,2025-03-01,1,2,2
scikit-learn/scikit-learn,MarieSacksick,2025-02-01,1,8,5
scikit-learn/scikit-learn,MarieSacksick,2024-10-01,1,5,3
scikit-learn/scikit-learn,cynddl,2025-04-01,1,28,3
scikit-learn/scikit-learn,KANNAHWORLD,2025-04-01,1,284,58
scikit-learn/scikit-learn,pedroL0pes,2025-04-01,1,29,0
scikit-learn/scikit-learn,MarcBresson,2025-04-01,1,47,6
scikit-learn/scikit-learn,MarcBresson,2024-10-01,1,59,15
scikit-learn/scikit-learn,MarcBresson,2024-07-01,1,119,10
scikit-learn/scikit-learn,StefanieSenger,2025-04-01,3,51,34
scikit-learn/scikit-learn,StefanieSenger,2025-03-01,4,535,149
scikit-learn/scikit-learn,StefanieSenger,2025-02-01,1,7,1
scikit-learn/scikit-learn,StefanieSenger,2025-01-01,6,496,222
scikit-learn/scikit-learn,StefanieSenger,2024-12-01,4,119,135
scikit-learn/scikit-learn,StefanieSenger,2024-11-01,3,54,14
scikit-learn/scikit-learn,StefanieSenger,2024-10-01,2,102,50
scikit-learn/scikit-learn,StefanieSenger,2024-07-01,5,208,64
scikit-learn/scikit-learn,StefanieSenger,2024-06-01,1,83,10
scikit-learn/scikit-learn,StefanieSenger,2024-05-01,4,711,269
scikit-learn/scikit-learn,StefanieSenger,2024-04-01,3,477,240
scikit-learn/scikit-learn,StefanieSenger,2024-03-01,1,261,32
scikit-learn/scikit-learn,StefanieSenger,2024-02-01,11,1065,288
scikit-learn/scikit-learn,ChVeen,2025-04-01,1,2,3
scikit-learn/scikit-learn,ChVeen,2024-11-01,1,0,2
scikit-learn/scikit-learn,ChVeen,2024-05-01,2,104,9
scikit-learn/scikit-learn,ChVeen,2024-04-01,1,11,11
scikit-learn/scikit-learn,ChVeen,2024-02-01,2,12,18
scikit-learn/scikit-learn,lesteve,2025-04-01,11,253,80
scikit-learn/scikit-learn,lesteve,2025-03-01,11,523,781
scikit-learn/scikit-learn,lesteve,2025-02-01,9,78,122
scikit-learn/scikit-learn,lesteve,2025-01-01,20,602,770
scikit-learn/scikit-learn,lesteve,2024-12-01,8,219,119
scikit-learn/scikit-learn,lesteve,2024-11-01,8,264,157
scikit-learn/scikit-learn,lesteve,2024-10-01,10,412,83
scikit-learn/scikit-learn,lesteve,2024-09-01,5,266,48
scikit-learn/scikit-learn,lesteve,2024-08-01,4,21,14
scikit-learn/scikit-learn,lesteve,2024-07-01,19,1080,1947
scikit-learn/scikit-learn,lesteve,2024-06-01,21,444,821
scikit-learn/scikit-learn,lesteve,2024-05-01,7,190,130
scikit-learn/scikit-learn,lesteve,2024-04-01,10,104,45
scikit-learn/scikit-learn,lesteve,2024-03-01,8,425,223
scikit-learn/scikit-learn,lesteve,2024-02-01,14,477,279
scikit-learn/scikit-learn,clane9,2025-04-01,1,128,20
scikit-learn/scikit-learn,vmargonis,2025-04-01,1,56,2
scikit-learn/scikit-learn,Nujra40,2025-04-01,1,4,0
scikit-learn/scikit-learn,mohitthakur13,2025-04-01,1,17,0
scikit-learn/scikit-learn,antoinebaker,2025-04-01,1,35,5
scikit-learn/scikit-learn,antoinebaker,2025-03-01,1,218,27
scikit-learn/scikit-learn,antoinebaker,2025-02-01,1,6,1
scikit-learn/scikit-learn,antoinebaker,2025-01-01,3,465,74
scikit-learn/scikit-learn,antoinebaker,2024-11-01,2,256,84
scikit-learn/scikit-learn,antoinebaker,2024-10-01,2,365,199
scikit-learn/scikit-learn,antoinebaker,2024-09-01,1,30,75
scikit-learn/scikit-learn,vitorpohlenz,2025-04-01,1,6,2
scikit-learn/scikit-learn,gdacciaro,2025-04-01,1,1,4
scikit-learn/scikit-learn,gdacciaro,2024-11-01,1,76,1
scikit-learn/scikit-learn,emelia-hdz,2025-04-01,1,1,1
scikit-learn/scikit-learn,JoaoRodriguesIST,2025-04-01,1,15,15
scikit-learn/scikit-learn,yuanx749,2025-04-01,1,2,2
scikit-learn/scikit-learn,yuanx749,2024-12-01,1,12,5
scikit-learn/scikit-learn,yuanx749,2024-11-01,1,3,3
scikit-learn/scikit-learn,yuanx749,2024-09-01,1,90,86
scikit-learn/scikit-learn,yuanx749,2024-05-01,1,42,15
scikit-learn/scikit-learn,yuanx749,2024-04-01,2,21,7
scikit-learn/scikit-learn,yuanx749,2024-02-01,1,3,5
scikit-learn/scikit-learn,jurca,2025-04-01,1,13,15
scikit-learn/scikit-learn,jurca,2025-01-01,1,0,1
scikit-learn/scikit-learn,simarssidhu,2025-04-01,1,21,11
scikit-learn/scikit-learn,sortofamudkip,2025-04-01,1,23,17
